,Order,Wavelength Start A,Region Size A,Target Start Index A,Target End Index A,Master Start Index A,Master End Index A,Wavelength Start B,Region Size B,Target Start Index B,Target End Index B,Master Start Index B,Master End Index B,Ratio used
0,0,9802.385923366895,0.2993021703368015,2147,2157,2127,2137,9802.385923366895,0.2993021703368015,2122,2132,2127,2137,1.504909034355328
1,2,9911.356894350158,0.2544701395523763,1425,1433,1404,1412,9911.356894350158,0.2544701395523763,1425,1433,1404,1412,1.504909034355328
2,2,9917.096416604212,0.3223042461297787,1584,1594,1563,1573,9917.096416604212,0.3223042461297787,1561,1571,1563,1573,1.504909034355328
3,2,9944.194069571784,0.29570493528252584,2372,2382,2351,2361,9944.194069571784,0.29570493528252584,2347,2357,2351,2361,1.504909034355328
4,2,9948.950587477753,0.54819231696146,2523,2531,2497,2515,9948.950587477753,0.54819231696146,2497,2505,2502,2510,1.504909034355328
5,2,9959.129514772305,0.46350667661787526,2845,2851,2819,2835,9959.129514772305,0.46350667661787526,2818,2824,2824,2830,1.504909034355328
6,3,10015.329545501378,0.426086797262748,2449,2463,2428,2442,10015.329545501378,0.426086797262748,2424,2438,2428,2442,1.504909034355328
7,4,10015.353571828098,0.43414323564139323,545,557,524,536,10015.353571828098,0.43414323564139323,524,536,524,536,1.504909034355328
8,4,10037.690251364993,0.4164916127669116,1122,1134,1101,1113,10037.690251364993,0.4164916127669116,1122,1134,1101,1113,1.504909034355328
9,4,10063.112420379393,0.4615171223232295,1814,1828,1793,1807,10063.112420379393,0.4615171223232295,1790,1804,1793,1807,1.504909034355328
10,4,10084.963109189377,0.4950602628484013,2451,2467,2430,2446,10084.963109189377,0.4950602628484013,2426,2442,2430,2446,1.504909034355328
11,5,10126.663599425536,0.47384658486304687,1627,1637,1604,1618,10126.663599425536,0.47384658486304687,1604,1614,1606,1616,1.504909034355328
12,5,10174.120791321668,0.33837586826068744,3032,3044,3011,3023,10174.120791321668,0.33837586826068744,3004,3016,3011,3023,1.504909034355328
13,5,10174.7049220217,0.5825299537165485,3051,3071,3030,3050,10174.7049220217,0.5825299537165485,3023,3043,3030,3050,1.504909034355328
14,6,10205.618822175486,0.395392195233768,1835,1847,1814,1826,10205.618822175486,0.395392195233768,1811,1823,1814,1826,1.504909034355328
15,6,10211.4307256164,0.3179311021783704,1998,2008,1977,1987,10211.4307256164,0.3179311021783704,1979,1979,1977,1987,1.504909034355328
16,6,10213.544313548995,0.5262000983163873,2058,2074,2037,2053,10213.544313548995,0.5262000983163873,2034,2050,2037,2053,1.8067660104565002
17,6,10228.003760405738,1.066674023659786,2495,2513,2459,2492,10228.003760405738,1.066674023659786,2469,2487,2474,2492,1.504909034355328
18,7,10287.154924089455,0.4577169692265848,2092,2104,2070,2084,10287.154924089455,0.4577169692265848,2068,2080,2071,2083,1.504909034355328
19,7,10289.121836822309,0.5946212893848113,2147,2165,2126,2144,10289.121836822309,0.5946212893848113,2123,2141,2126,2144,1.2823613131786413
20,7,10298.528844898026,0.6770959974677915,2421,2439,2399,2420,10298.528844898026,0.6770959974677915,2396,2414,2400,2418,1.504909034355328
